16:00:09 [INFO] __main__: log file: C:\document\wingman_yolo\logs\wingman_yolo.log
16:00:09 [INFO] __main__: loaded config from ./configs/config.yaml
16:00:18 [INFO] core.detector: frame #593: 1 detections found (max conf=0.868, cls0=1)
16:00:18 [INFO] core.detector: frame #595: 1 detections found (max conf=0.833, cls0=1)
16:00:18 [INFO] core.detector: frame #597: 1 detections found (max conf=0.811, cls0=1)
16:00:18 [INFO] core.detector: frame #599: 1 detections found (max conf=0.844, cls0=1)
16:00:18 [INFO] core.detector: frame #601: raw 8400 preds, max conf=0.175 < thres=0.45, all filtered
16:00:18 [INFO] core.detector: frame #604: 1 detections found (max conf=0.510, cls0=1)
16:00:18 [INFO] core.detector: frame #606: 1 detections found (max conf=0.521, cls0=1)
16:00:18 [INFO] core.detector: frame #608: 1 detections found (max conf=0.827, cls0=1)
16:00:18 [INFO] core.detector: frame #610: 1 detections found (max conf=0.854, cls0=1)
16:00:18 [INFO] core.detector: frame #615: 1 detections found (max conf=0.455, cls1=1)
16:00:18 [INFO] core.aim_controller: aim: OK — 72 moves/s (cache=True vel=(-60,-38))
16:00:18 [INFO] core.detector: frame #617: 1 detections found (max conf=0.500, cls1=1)
16:00:18 [INFO] core.detector: frame #619: 1 detections found (max conf=0.566, cls1=1)
16:00:18 [INFO] core.detector: frame #621: 1 detections found (max conf=0.557, cls0=1)
16:00:18 [INFO] core.detector: frame #623: 1 detections found (max conf=0.612, cls0=1)
16:00:18 [INFO] core.detector: frame #625: 1 detections found (max conf=0.585, cls3=1)
16:00:18 [INFO] core.detector: frame #627: 1 detections found (max conf=0.549, cls3=1)
16:00:18 [INFO] core.detector: frame #629: 1 detections found (max conf=0.590, cls0=1)
16:00:18 [INFO] core.detector: frame #631: 1 detections found (max conf=0.636, cls0=1)
16:00:18 [INFO] core.detector: frame #633: 1 detections found (max conf=0.630, cls0=1)
16:00:18 [INFO] core.aim_controller: aim loop auto-tuned: 72 → 67 Hz (detection: 45 FPS)
16:00:18 [INFO] core.detector: frame #645: 1 detections found (max conf=0.494, cls3=1)
16:00:18 [INFO] core.detector: frame #647: 1 detections found (max conf=0.572, cls3=1)
16:00:18 [INFO] core.detector: frame #649: 1 detections found (max conf=0.467, cls3=1)
16:00:19 [INFO] core.detector: frame #651: 1 detections found (max conf=0.537, cls3=1)
16:00:19 [INFO] core.detector: frame #655: 1 detections found (max conf=0.540, cls0=1)
16:00:19 [INFO] core.detector: frame #658: 1 detections found (max conf=0.657, cls0=1)
16:00:19 [INFO] core.detector: frame #660: 1 detections found (max conf=0.644, cls0=1)
