epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,5857.42,0.92034,0.64609,1.11296,0.96621,0.92236,0.96606,0.74893,0.90759,0.6034,1.08972,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5956.52,0.91883,0.64201,1.11188,0.96044,0.92642,0.96466,0.74933,0.91445,0.61303,1.09927,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6056.87,0.90988,0.63346,1.11047,0.96277,0.92642,0.96712,0.75158,0.92193,0.59033,1.10785,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6174.5,0.91466,0.62851,1.10907,0.96228,0.92758,0.96693,0.75373,0.91916,0.59774,1.10196,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6272.23,0.90212,0.62923,1.09913,0.96354,0.92352,0.96895,0.75418,0.90621,0.57923,1.09207,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6370.02,0.89362,0.62262,1.09797,0.97424,0.9204,0.96966,0.75534,0.90099,0.57701,1.08988,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6468.4,0.89199,0.61406,1.09843,0.97198,0.92526,0.96851,0.75524,0.90163,0.58301,1.0958,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6566.23,0.88442,0.60639,1.09745,0.96604,0.92584,0.96782,0.7534,0.88409,0.54075,1.07078,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6664.48,0.88059,0.61031,1.08994,0.96338,0.92971,0.96927,0.75609,0.89826,0.57591,1.09406,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6761.81,0.87332,0.60392,1.0866,0.96333,0.92848,0.96956,0.75671,0.89515,0.57712,1.08495,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6857.31,0.86133,0.5882,1.08625,0.97136,0.92355,0.96933,0.75668,0.89486,0.57751,1.08148,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6979.88,0.85146,0.58588,1.07521,0.97283,0.92584,0.97198,0.75978,0.8859,0.57061,1.07497,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7075.01,0.86045,0.59239,1.07851,0.96343,0.93801,0.97225,0.75923,0.87277,0.53662,1.05863,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7203.36,0.85566,0.58781,1.07397,0.96314,0.93861,0.97292,0.76106,0.87008,0.52903,1.05267,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,7321.55,0.83049,0.56855,1.06159,0.96361,0.93591,0.97282,0.75956,0.87401,0.52405,1.05328,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,7416.49,0.84398,0.56804,1.07046,0.96533,0.93559,0.97281,0.76024,0.88321,0.52906,1.06098,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,7511.04,0.84289,0.56557,1.06679,0.96591,0.93569,0.97272,0.76104,0.89426,0.54365,1.06401,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
